Date,Time,Site,Unit_ID,User_ID,deg_C,mbars,do_perc,do_mgL,spc_uscm,pH,NTU,chla_ugL,chla_RFU,phycoc_ugL,phycoc_RFU,depth_m_prodss,depth_m
6/13/24,11:07:59,Buoy,PRODSS,,7.6,1016.6,90.1,10.76,97.7,,3.81,3.72,0.81,0.23,0.24,12.407,12.5
6/13/24,11:07:00,Buoy,PRODSS,,7.9,1016.7,92.8,11.02,97.7,,0.58,3.38,0.73,0.07,0.09,11.862,12
6/13/24,11:06:35,Buoy,PRODSS,,8.3,1016.7,94.2,11.06,97.7,,0.59,3.54,0.77,0.09,0.1,10.929,11
6/13/24,11:05:42,Buoy,PRODSS,,9,1016.8,97,11.21,97.3,,0.58,3.31,0.71,0.06,0.08,9.886,10
6/13/24,11:05:11,Buoy,PRODSS,,9.6,1016.5,99,11.27,97.3,,0.6,3.13,0.67,0.05,0.07,8.915,9
6/13/24,11:04:39,Buoy,PRODSS,,11.1,1016.4,101.2,11.13,96.7,,0.57,2.61,0.55,0.05,0.07,7.892,8
6/13/24,11:04:22,Buoy,PRODSS,,12.2,1016.3,104.2,11.17,96.3,,0.49,2.3,0.47,0.02,0.04,6.902,7
6/13/24,11:03:52,Buoy,PRODSS,,15.2,1016.1,105.3,10.57,96.7,,0.44,2.22,0.45,0.04,0.05,5.882,6
6/13/24,11:03:24,Buoy,PRODSS,,18,1015.7,102.8,9.72,96.7,,0.42,2.15,0.44,0.02,0.04,4.914,5
6/13/24,11:02:58,Buoy,PRODSS,,19.1,1015.3,103.8,9.6,97.1,,0.37,1.94,0.39,-0.01,0.01,3.92,4
6/13/24,11:02:33,Buoy,PRODSS,,19.8,1014.8,104.8,9.58,97.2,,0.38,1.17,0.2,-0.01,0.01,2.928,3
6/13/24,11:02:15,Buoy,PRODSS,,19.9,1014.4,105,9.57,97.2,,0.4,1.17,0.2,0,0.02,1.88,2
6/13/24,11:00:59,Buoy,PRODSS,,20.1,1015.7,106.3,9.63,97.2,,0.41,1.01,0.17,0,0.02,0.513,1
6/13/24,11:00:40,Buoy,PRODSS,,20.2,1015.8,106.5,9.65,97.2,,0.39,0.91,0.14,0,0.02,0.281,0.5
6/13/24,11:00:18,Buoy,PRODSS,,20.2,1015.8,107.2,9.7,97.1,,2.15,1.13,0.2,0.05,0.06,0.221,0.1
06/18/24,9:17:10,Buoy,PRODSS,,8.1,1023.8,90.2,10.64,97.8,,0.64,3.28,0.7,0.09,0.11,12.13,12.5
06/18/24,9:15:03,Buoy,PRODSS,,8.3,1023.8,92.2,10.84,97.8,,0.62,3.3,0.71,0.1,0.11,11.937,12
06/18/24,9:14:18,Buoy,PRODSS,,8.7,1023.9,94.2,10.97,97.4,,0.6,3.26,0.7,0.11,0.13,10.92,11
06/18/24,9:13:18,Buoy,PRODSS,,9,1023.9,95.8,11.06,97.2,,0.63,3.12,0.66,0.09,0.11,9.925,10
06/18/24,9:11:58,Buoy,PRODSS,,9.7,1023.9,97.7,11.11,97,,0.57,2.55,0.53,0.06,0.07,8.953,9
06/18/24,9:10:17,Buoy,PRODSS,,11.8,1024,102.7,11.11,96.6,,0.57,2.43,0.5,0.05,0.06,7.922,8
06/18/24,9:09:12,Buoy,PRODSS,,13.4,1023.9,104.7,10.94,96.5,,0.52,2.75,0.58,0.04,0.06,6.938,7
06/18/24,9:08:14,Buoy,PRODSS,,18.5,1023.9,106.1,9.95,97.4,,0.43,2.31,0.47,-0.01,0.01,5.957,6
06/18/24,9:07:02,Buoy,PRODSS,,19.4,1023.9,105.9,9.75,97.5,,0.41,2.19,0.44,-0.02,0,4.932,5
06/18/24,9:05:58,Buoy,PRODSS,,20,1023.7,106.3,9.67,97.6,,0.4,1.79,0.35,0.01,0.03,3.92,4
06/18/24,9:05:09,Buoy,PRODSS,,20.5,1023.6,107.4,9.67,97.7,,0.38,1.68,0.33,0.01,0.03,2.925,3
06/18/24,9:04:11,Buoy,PRODSS,,20.7,1023.7,107.8,9.67,97.7,,0.39,1.48,0.28,0.01,0.03,1.87,2
06/18/24,9:02:17,Buoy,PRODSS,,20.9,1023.7,108,9.64,97.6,,0.36,1.2,0.21,-0.02,0,0.809,1
06/18/24,9:01:37,Buoy,PRODSS,,20.9,1023.7,107.6,9.61,97.6,,0.41,0.99,0.16,-0.01,0.01,0.358,0.5
06/18/24,9:01:07,Buoy,PRODSS,,21,1023.8,106.4,9.48,97.7,,0.42,0.95,0.15,0.02,0.04,0.223,0.1
06/20/24,9:16:13,Buoy,PRODSS,,8,1025.3,88.2,10.45,97.8,,0.57,3.44,0.74,0.11,0.12,12.205,12.5
06/20/24,9:12:05,Buoy,PRODSS,,8.1,1025.3,90.9,10.73,97.7,,0.57,3.55,0.77,0.1,0.11,11.948,12
06/20/24,9:11:03,Buoy,PRODSS,,8.5,1025.2,92.9,10.86,97.6,,0.58,3.49,0.75,0.08,0.09,10.91,11
06/20/24,9:10:29,Buoy,PRODSS,,9,1025.3,94.7,10.95,97.4,,0.56,3.43,0.74,0.06,0.08,9.911,10
06/20/24,9:09:28,Buoy,PRODSS,,10.1,1025.1,98.3,11.07,97,,0.51,2.73,0.57,0.05,0.06,8.969,9
06/20/24,9:08:44,Buoy,PRODSS,,11.4,1025.2,101.2,11.07,96.5,,0.48,2.61,0.55,0.04,0.06,7.916,8
06/20/24,9:07:59,Buoy,PRODSS,,13.3,1025.2,105.2,11,96.4,,0.43,2.96,0.63,0.02,0.04,6.941,7
06/20/24,9:06:51,Buoy,PRODSS,,16.3,1025,106,10.4,97.2,,0.46,3.14,0.67,0,0.02,5.942,6
06/20/24,9:06:05,Buoy,PRODSS,,20.4,1025,106.9,9.64,97.7,,0.34,1.98,0.4,0,0.02,4.936,5
06/20/24,9:05:27,Buoy,PRODSS,,20.9,1024.8,107.7,9.61,97.8,,0.3,2.02,0.41,-0.02,0.01,3.935,4
06/20/24,9:04:35,Buoy,PRODSS,,21.8,1024.8,108.5,9.52,98,,0.31,1.72,0.33,0,0.02,2.95,3
06/20/24,9:04:04,Buoy,PRODSS,,22.5,1024.7,109,9.43,98,,0.29,1.49,0.28,-0.02,0.01,1.856,2
06/20/24,9:03:25,Buoy,PRODSS,,23.3,1024.8,109,9.3,98.2,,0.29,1.36,0.25,-0.02,0,0.71,1
06/20/24,9:02:59,Buoy,PRODSS,,23.5,1024.8,109.2,9.28,98.2,,0.32,1.25,0.22,-0.02,0,0.347,0.5
